country,year,status,IF,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_B,measles,BMI,under_five_deaths,polio,total_expenditure,diphtheria,HIV_AIDS,GDP,population,thinness_1_to_19_years,thinness_5_to_9_years,income_composition_of_resources,schooling
Algeria,2009,Developing,High,74.4,123,20,0.5,352.06,94,107,52.8,23,94,5.36,95,0.1,3868.83,3546576,6,5.9,0.705,13.1
Algeria,2008,Developing,High,74.1,126,20,0.46,43.09,91,217,51.8,23,92,4.2,93,0.1,495.25,3486715,6,5.9,0.697,12.6
Algeria,2007,Developing,High,73.8,129,20,0.44,320.32,9,0,5.8,23,95,3.82,95,0.1,3935.18,34376,6,5.9,0.69,12.3
Algeria,2006,Developing,High,73.4,132,20,0.36,270.24,8,944,49.8,23,95,3.36,95,0.1,3464.62,33777915,6.1,6,0.686,12.3
Algeria,2005,Developing,High,72.9,136,19,0.5,2.55,83,2302,48.9,22,88,3.24,88,0.1,31.12,33288437,6.1,6,0.68,12
Algeria,2004,Developing,High,72.3,14,19,0.45,220.39,81,3289,47.9,23,86,3.54,86,0.1,2598.98,3283196,6.2,6.1,0.673,11.7
Armenia,2014,Developing,High,74.6,12,1,3.91,295.61,93,13,54.1,1,95,4.48,93,0.1,3994.71,29622,2.1,2.1,0.739,12.7
Armenia,2013,Developing,High,74.4,123,1,3.79,279.43,95,10,53.3,1,96,4.55,95,0.1,3843.59,289359,2.1,2.1,0.736,12.7
Armenia,2012,Developing,High,74.4,121,1,3.89,274.15,95,0,52.6,1,96,4.48,95,0.1,3684.85,2881922,2,2.1,0.732,12.7
Armenia,2011,Developing,High,73.9,128,1,4.09,261,95,0,51.9,1,96,3.71,95,0.1,3526.98,2875581,2,2.1,0.729,12.7
Armenia,2010,Developing,High,73.5,132,1,4.23,224.32,94,2,51.2,1,96,4.56,94,0.1,3218.38,2877311,2,2.1,0.72,12.3
Armenia,2009,Developing,High,73.3,137,1,3.96,201.19,93,0,5.7,1,94,4.55,93,0.1,2993.83,2888584,2,2.1,0.725,11.9
Armenia,2008,Developing,High,73.2,14,1,3.96,2.89,89,0,5.1,1,91,3.8,89,0.1,41.27,29822,2,2.1,0.721,12.3
Armenia,2007,Developing,High,73.5,132,1,3.99,44.57,85,1,49.7,1,9,4.31,88,0.1,3138.89,293356,2,2.1,0.707,11.7
Armenia,2006,Developing,High,72.9,141,1,4.01,244.54,78,137,49.2,1,87,4.58,87,0.1,2158.3,29585,2,2.1,0.692,11.2
Armenia,2005,Developing,High,73,137,1,4.25,20.22,91,2281,48.8,1,92,5.25,9,0.1,1643.76,2981259,2,2.1,0.679,10.9
Armenia,2004,Developing,High,73,132,1,3.81,97.74,91,1783,48.4,1,93,5.5,91,0.1,1191.96,3612,2,2.1,0.668,10.9
Australia,2014,Developed,High,82.7,6,1,9.71,10769.36,91,340,66.1,1,92,9.42,92,0.1,62214.69,2346694,0.6,0.6,0.936,20.4
Australia,2013,Developed,High,82.5,61,1,9.87,11734.85,91,158,65.5,1,91,9.36,91,0.1,67792.34,23117353,0.6,0.6,0.933,20.3
Australia,2012,Developed,High,82.3,61,1,10.03,11715,91,199,65,1,92,9.36,92,0.1,67677.63,22728254,0.6,0.6,0.93,20.1
Australia,2011,Developed,High,82,63,1,10.3,10986.27,92,190,64.4,1,92,9.2,92,0.1,62245.13,223424,0.6,0.6,0.927,19.8
Australia,2010,Developed,High,81.9,64,1,10.52,8875.79,92,70,63.9,1,92,9.2,92,0.1,51874.85,223175,0.7,0.6,0.927,19.5
Australia,2009,Developed,High,81.7,66,1,10.62,7172.28,94,104,63.4,1,92,9.5,92,0.1,42743,216917,0.7,0.6,0.925,19.1
Australia,2008,Developed,High,81.3,66,1,10.76,8547.29,94,65,62.9,1,92,8.78,92,0.1,49664.69,212492,0.7,0.6,0.921,19.1
Australia,2007,Developed,High,81.3,66,1,10.56,872.6,94,11,62.5,2,92,8.53,92,0.1,4991.98,28276,0.7,0.6,0.918,19
Australia,2006,Developed,High,81.2,66,1,10.31,6187.06,95,0,62,2,92,8.49,92,0.1,36118.28,26979,0.7,0.6,0.915,20.3
Australia,2005,Developed,High,81,67,1,10.3,579.13,95,10,61.5,2,92,8.45,92,0.1,3416.71,23948,0.7,0.6,0.91,20.3
Australia,2004,Developed,High,86,69,1,9.84,588.57,95,70,6.9,1,92,8.57,92,0.1,3472.38,21274,0.7,0.6,0.908,20.7
Austria,2014,Developed,High,81.4,66,0,12.32,8350.19,98,117,57.1,0,98,11.21,98,0.1,51322.64,8541575,1.8,2,0.892,15.9
Austria,2013,Developed,High,81.1,68,0,11.82,90.59,95,0,56.6,0,95,11.14,95,0.1,554.72,8479375,1.8,2,0.887,15.7
Austria,2012,Developed,High,88,7,0,12.26,7878.37,92,36,56.1,0,92,11.17,92,0.1,48333.57,8429991,1.8,2,0.884,15.7
Austria,2011,Developed,High,88,73,0,12.04,8272.31,89,68,55.7,0,89,1.94,89,0.1,51126.74,8391643,1.7,2,0.88,15.7
Austria,2010,Developed,High,84,75,0,12.1,7423.23,86,52,55.2,0,86,11.17,86,0.1,46657.63,836344,1.7,1.9,0.872,15.4
Austria,2009,Developed,High,82,77,0,11.3,8053.56,83,49,54.7,0,83,11.19,83,0.1,47654.19,8343323,1.7,1.9,0.87,15.3
Austria,2008,Developed,High,84,76,0,12,8329.73,83,448,54.2,0,83,1.6,83,0.1,51386.38,8321496,1.7,1.9,0.864,15.1
Austria,2007,Developed,High,81,8,0,12.5,7453.86,85,20,53.7,0,85,1.4,85,0.1,46586.65,8295487,1.7,1.9,0.86,15.2
Austria,2006,Developed,High,79.8,81,0,12.4,69.93,83,23,53.2,0,83,1.35,83,0.1,443.99,8268641,1.7,1.9,0.854,15
Austria,2005,Developed,High,79.4,85,0,12.4,5992.59,86,9,52.7,0,86,1.53,86,0.1,38242.43,8227829,1.7,1.9,0.848,14.9
Austria,2004,Developed,High,79.3,86,0,12.1,5316.88,83,15,52.2,0,83,1.56,83,0.1,36693.43,8171966,1.7,1.9,0.841,14.7
Azerbaijan,2014,Developing,High,72.5,119,5,0.01,306.18,94,0,51.5,6,97,6.4,94,0.1,7891.3,953579,2.8,2.9,0.752,12.2
Azerbaijan,2013,Developing,High,72.2,121,5,2.14,275.65,93,164,5.6,6,96,5.54,93,0.1,7875.76,941681,2.8,2.8,0.745,11.9
Azerbaijan,2012,Developing,High,71.9,123,5,0.01,285.61,88,0,49.7,6,92,5.37,89,0.1,7496.34,9295784,2.8,2.8,0.742,11.8
Azerbaijan,2011,Developing,High,71.6,125,5,1.98,263.14,84,0,48.8,6,91,5.1,87,0.1,7189.69,917382,2.8,2.9,0.741,11.7
Azerbaijan,2010,Developing,Low,71.1,13,5,1.98,246.57,8,0,48,6,85,5.33,81,0.1,5842.86,954332,2.8,2.9,0.737,11.7
Azerbaijan,2009,Developing,High,78,132,6,2.1,22.49,74,0,47.3,6,84,5.85,81,0.1,495.29,8947243,2.8,2.9,0.728,11.6
Azerbaijan,2008,Developing,High,73,141,6,1.18,206.26,68,5,46.6,6,85,4.37,81,0.1,5574.64,87634,2.8,2.9,0.719,11.6
Azerbaijan,2007,Developing,High,73,14,6,1.02,176.01,62,0,45.9,7,81,5.1,79,0.1,3851.44,85813,2.8,2.9,0.708,11.6
Azerbaijan,2006,Developing,Low,69.2,154,6,0.85,105.63,52,222,45.3,7,8,6.17,78,0.1,2473.86,848455,2.9,2.9,0.682,10.7
Azerbaijan,2005,Developing,Low,68.4,162,6,0.73,81.29,49,1238,44.7,7,79,7.86,75,0.1,1578.42,839185,2.9,3,0.675,11.2
Azerbaijan,2004,Developing,Low,68.4,154,6,0.62,8.6,5,827,44.2,8,78,7.92,77,0.1,145.22,8365,3,3,0.668,11
Bangladesh,2014,Developing,High,71.4,132,98,0.01,10.45,97,289,17.7,121,97,2.82,97,0.1,184.57,15945279,18.1,18.6,0.57,10
Bangladesh,2013,Developing,Low,71,135,104,0.01,52.83,96,237,17,130,96,2.88,96,0.1,951.89,157571292,18.3,18.8,0.565,10
Bangladesh,2012,Developing,High,77,137,111,0.01,59.26,94,1986,16.4,139,94,3.8,94,0.1,856.34,15572753,18.5,19,0.557,9.9
Bangladesh,2011,Developing,High,73,14,118,0.01,62.35,96,5625,15.8,150,96,3.16,96,0.1,835.79,153911916,18.7,19.2,0.545,9.4
Bangladesh,2010,Developing,Low,69.9,142,126,0.01,62.66,94,788,15.2,161,94,3.6,94,0.1,757.67,15214912,18.9,19.4,0.535,8.9
Bangladesh,2009,Developing,Low,69.5,144,135,0.01,53.26,97,718,14.6,173,97,2.91,97,0.1,681.13,1545478,19.1,19.7,0.523,8.4
Bangladesh,2008,Developing,Low,69.1,147,144,0.01,42.49,96,2660,14,186,96,2.85,96,0.1,615.78,14885814,19.3,19.9,0.52,8.6
Bangladesh,2007,Developing,Low,68.6,151,154,0.01,46.37,95,2924,13.5,201,96,2.8,94,0.1,541.65,147139191,19.5,2.1,0.513,8.6
Bangladesh,2006,Developing,Low,68.2,152,164,0.01,42.33,86,6192,13,215,95,2.8,94,0.1,494.51,1453684,19.7,2.3,0.506,8.4
Bangladesh,2005,Developing,Low,67.8,155,174,0.01,38.05,45,25934,12.5,231,94,2.68,93,0.1,484.16,14343111,19.9,2.5,0.499,8.2
Bangladesh,2004,Developing,Low,67.3,158,185,0.01,4.11,11,9743,12,247,88,2.62,99,0.1,46.76,14137489,2.1,2.7,0.491,8.1
Belarus,2014,Developing,High,72,199,0,13.94,1147.11,97,64,61.7,0,97,5.69,97,0.1,8318.43,9474511,1.9,2,0.796,15.7
Belarus,2013,Developing,High,71.7,23,0,14.66,1109.85,98,16,61.1,1,98,6.7,98,0.1,7978.83,9465997,2,2,0.796,15.7
Belarus,2012,Developing,High,71.9,194,0,16.35,91.71,97,10,6.5,1,98,5.1,98,0.1,694.24,9464495,2,2.1,0.793,15.6
Belarus,2011,Developing,High,72,232,0,17.31,846.91,98,50,59.9,1,98,4.92,98,0.1,6519.72,9473172,2,2.1,0.787,15.5
Belarus,2010,Developing,High,73,222,0,14.44,8.49,96,1,59.3,1,99,5.55,98,0.1,63.39,949583,2,2.2,0.78,15.5
Belarus,2009,Developing,Low,70,226,0,14.09,434.8,98,0,58.7,1,98,6.9,96,0.1,5176.17,956765,2.1,2.2,0.771,15.4
Belarus,2008,Developing,Low,70,224,1,14.67,501.81,98,0,58.2,1,98,5.95,97,0.1,6376.18,9527985,2.1,2.3,0.755,15.1
Belarus,2007,Developing,Low,69.8,226,1,14.22,464.08,91,1,57.7,1,9,6.44,95,0.1,4735.48,956953,2.2,2.3,0.739,14.9
Belarus,2006,Developing,Low,68.9,243,1,12.6,364.43,98,149,57.2,1,97,6.34,99,0.1,3848.22,964924,2.2,2.4,0.723,14.6
Belarus,2005,Developing,Low,68.1,252,1,11.01,45.65,99,1,56.7,1,98,6.89,99,0.1,3126.72,9663915,2.3,2.5,0.713,14.4
Belarus,2004,Developing,Low,68.2,247,1,12.05,42.33,99,2,56.2,1,99,6.59,99,0.1,2378.34,973146,2.4,2.5,0.703,14.1
Belgium,2014,Developed,High,89,76,0,12.6,7163.35,98,70,63.4,1,99,1.59,99,0.1,47439.4,112957,1,1,0.89,16.3
Belgium,2013,Developed,High,87,77,0,11.77,702.36,98,39,63,1,99,1.57,99,0.1,4651.39,11182817,1,0.9,0.889,16.3
Belgium,2012,Developed,High,83,78,0,10.08,664.47,98,109,62.6,1,99,1.54,99,0.1,4474.57,11128246,0.9,0.9,0.886,16.2
Belgium,2011,Developed,High,83,8,0,10.11,713.53,97,576,62.3,1,98,1.42,98,0.1,4772.77,1147744,0.9,0.9,0.884,16.1
Belgium,2010,Developed,High,80,81,0,10.22,665.74,97,40,61.9,1,98,1.17,98,0.1,4438.24,1895586,0.9,0.9,0.878,15.9
Belgium,2009,Developed,High,79.8,85,0,10.05,671.94,97,33,61.6,1,98,1.39,98,0.1,4488.56,1796493,0.9,0.9,0.876,15.8
Belgium,2008,Developed,High,79.5,87,0,10.47,7191.05,98,98,61.3,1,99,9.6,99,0.1,48424.59,179973,0.8,0.8,0.874,15.8
Belgium,2007,Developed,High,79.5,86,0,10.25,640.36,94,64,6.9,1,99,9.25,98,0.1,4443.83,16257,0.8,0.8,0.871,15.8
Belgium,2006,Developed,High,79.4,85,0,10.98,5579.2,94,15,6.6,1,99,9.17,98,0.1,38852.36,1547958,0.8,0.8,0.865,15.7
Belgium,2005,Developed,High,78.9,89,0,12.27,5068.21,77,26,6.2,1,97,9.24,97,0.1,36967.28,1478617,0.8,0.8,0.861,15.7
Belgium,2004,Developed,High,78.8,91,1,12.05,5160.51,64,61,59.8,1,96,9.32,95,0.1,35589.71,1421137,0.8,0.8,0.88,18.8
Belize,2014,Developing,Low,70,177,0,6.58,670.09,95,0,5.1,0,95,5.79,95,0.2,4852.22,351694,3.4,3.4,0.705,12.8
Belize,2013,Developing,Low,69.8,18,0,6.56,629.2,95,0,49.3,0,95,5.79,95,0.2,4688.54,344181,3.4,3.4,0.706,12.9
Belize,2012,Developing,Low,69.4,189,0,6.66,582.8,98,0,48.5,0,98,5.45,98,0.1,4673.64,33671,3.5,3.4,0.702,12.5
Belize,2011,Developing,Low,69.4,188,0,6.64,605.63,95,0,47.8,0,95,5.61,95,0.5,4516.25,329192,3.5,3.4,0.7,12.4
Belize,2010,Developing,Low,69.5,186,0,6.76,569.95,96,0,47,0,96,5.85,96,0.2,4344.15,32168,3.5,3.4,0.7,12.4
Belize,2009,Developing,Low,69.5,184,0,6.85,549.81,97,0,46.3,0,98,5.81,97,0.3,4258.79,313929,3.5,3.4,0.7,12.7
Belize,2008,Developing,Low,69.6,181,0,7.22,51.25,94,0,45.7,0,94,5.9,94,0.1,447.23,36165,3.5,3.4,0.699,12.8
Belize,2007,Developing,Low,69.6,181,0,7.24,69.63,96,0,45,0,97,4.76,96,0.6,4324.88,29847,3.5,3.5,0.7,12.8
Belize,2006,Developing,Low,69.4,184,0,6.48,387.33,98,0,44.4,0,98,4.4,98,0.6,4187.38,29747,3.6,3.5,0.692,12.3
Belize,2005,Developing,Low,69,191,0,6.25,365.8,96,0,43.8,0,96,4.45,96,0.8,3933.33,283277,3.6,3.5,0.695,12.8
Belize,2004,Developing,Low,68.7,197,0,6.2,325.68,97,0,43.2,0,97,4.39,97,0.8,3831.54,27689,3.6,3.5,0.691,12.5
Benin,2014,Developing,Low,59.7,252,25,0.01,90.12,78,786,25.2,39,74,4.59,78,1.1,943.69,1286712,7.1,6.9,0.475,10.7
Benin,2013,Developing,Low,59.5,251,25,0.01,87.41,77,637,24.6,39,73,4.59,77,1.2,915.27,14451,7.2,7.1,0.466,10.3
Benin,2012,Developing,Low,59.3,251,25,0.01,9.8,8,288,24.1,39,8,4.86,8,1.3,837.96,972916,7.4,7.3,0.458,10
Benin,2011,Developing,Low,59.1,251,25,1.4,110.26,75,426,23.5,39,77,5.37,75,1.4,825.94,94682,7.6,7.5,0.454,9.8
Benin,2010,Developing,Low,58.7,254,25,1.33,94.26,76,392,23,39,77,4.95,76,1.4,757.7,9199259,7.8,7.6,0.451,9.5
Benin,2009,Developing,Low,58.4,259,25,1.16,71.01,79,1461,22.5,39,8,4.46,79,1.6,793.45,894476,7.9,7.8,0.448,9.3
Benin,2008,Developing,Low,57.6,278,25,1.28,7.62,75,928,22,39,77,4.2,75,1.8,82.15,8696916,8.1,8,0.444,9.1
Benin,2007,Developing,Low,57.1,283,25,1.12,7.49,82,341,21.5,39,82,4.55,82,2,76.54,8454791,8.3,8.2,0.438,8.9
Benin,2006,Developing,Low,56.8,284,25,1.19,75.91,74,176,21,39,76,4.75,74,2,625.84,8216896,8.5,8.4,0.434,8.7
Benin,2005,Developing,Low,56.5,285,25,1.13,7.11,7,210,2.5,39,73,4.73,7,2.1,61.8,7982225,8.7,8.6,0.43,8.5
Benin,2004,Developing,Low,56.1,285,25,1.15,10.74,75,262,2.1,39,74,4.56,72,2.1,583.49,7754,8.9,8.8,0.423,8.1
Bhutan,2014,Developing,Low,69.4,216,0,0.01,209.39,99,0,23.6,1,98,3.57,99,0.5,2522.8,776448,15.7,16.2,0.596,12.5
Bhutan,2013,Developing,Low,69.1,219,0,0.01,19.79,97,0,22.7,1,97,3.83,97,0.6,235.88,764961,15.9,16.5,0.589,12.6
Bhutan,2012,Developing,Low,68.7,223,0,0.01,188.74,97,1,21.9,1,97,3.7,97,0.6,2422.82,752967,16.1,16.7,0.581,12.3
Bhutan,2011,Developing,Low,68.3,225,0,0.23,289.85,95,10,21.1,1,95,4.73,95,0.5,2458.46,7451,16.3,17,0.572,11.9
Bhutan,2010,Developing,Low,67.9,228,1,0.28,244.04,91,21,2.3,1,92,5.17,91,0.5,2178.92,727641,16.6,17.3,0,11.4
Bhutan,2009,Developing,Low,67.4,232,1,0.17,27.49,93,6,19.5,1,93,6.3,93,0.4,177.23,714458,16.8,17.5,0,10.9
Bhutan,2008,Developing,Low,67,234,1,0.21,302.67,96,7,18.8,1,96,6.58,96,0.4,1795.18,795,17.1,17.8,0,10.5
Bhutan,2007,Developing,Low,66.5,238,1,0.16,283.81,95,11,18,1,93,5.88,95,0.3,1741.14,686958,17.3,18.1,0,10.1
Bhutan,2006,Developing,Low,65.8,245,1,0.29,169.2,95,2,17.4,1,96,5.27,95,0.3,1335.46,672228,17.5,18.3,0,9.6
Bhutan,2005,Developing,Low,65,254,1,0.73,145.6,95,11,16.7,1,95,5.28,95,0.3,1247.61,656639,17.8,18.6,0,9.2
Bhutan,2004,Developing,Low,64.2,263,1,0.96,2.59,89,3,16.1,1,9,4.41,89,0.3,197.46,64282,18,18.8,0,8.8
Bosnia and Herzegovina,2014,Developing,High,77.2,89,0,4.03,732.87,89,3000,55.3,0,86,9.57,86,0.1,5193.95,35662,2.4,2.4,0.742,14.2
Bosnia and Herzegovina,2013,Developing,High,77,9,0,4.12,75.61,91,0,54.7,0,87,9.46,89,0.1,535.87,364999,2.4,2.4,0.735,14.2
Bosnia and Herzegovina,2012,Developing,High,76.8,92,0,4.61,693.82,92,22,54.2,0,87,9.94,92,0.1,4716.67,36482,2.5,2.5,0.728,13.9
Bosnia and Herzegovina,2011,Developing,High,76.9,92,0,4.64,7.96,88,10,53.7,0,89,9.71,88,0.1,55.16,3688865,2.6,2.5,0.711,13.4
Bosnia and Herzegovina,2010,Developing,High,76.4,94,0,4.54,630.39,89,45,53.1,0,9,9.58,89,0.1,4611.47,372284,2.6,2.6,0.717,13.3
Bosnia and Herzegovina,2009,Developing,High,76.1,97,0,4.75,645.02,9,22,52.6,0,9,9.64,9,0.1,4697.9,3746561,2.7,2.7,0.716,13.3
Bosnia and Herzegovina,2008,Developing,High,76,98,0,5.13,66.05,88,8,52.1,0,92,8.58,91,0.1,575.32,3763599,2.8,2.7,0.71,13.1
Bosnia and Herzegovina,2007,Developing,High,75.4,16,0,5.16,8.24,94,166,51.5,0,95,8.37,95,0.1,418.29,3774,2.8,2.8,0.703,12.9
Bosnia and Herzegovina,2006,Developing,High,75.7,1,0,4.82,38.25,9,17,51,0,91,8.28,87,0.1,344.32,3779468,2.9,2.8,0.697,12.7
Bosnia and Herzegovina,2005,Developing,High,75,12,0,4.56,45.71,93,23,5.5,0,95,8.5,93,0.1,2968.41,378153,2.9,2.9,0,12.5
Bosnia and Herzegovina,2004,Developing,High,75.5,99,0,4.25,3.48,36,28,49.9,0,87,9.4,84,0.1,265.64,3781287,3,3,0,12.3
Botswana,2014,Developing,Low,65.1,268,2,0.01,662.8,95,1,37.3,2,96,5.41,95,2.3,7497.76,2168573,6.7,6.4,0.697,12.6
Botswana,2013,Developing,Low,64.2,286,2,0.01,1.12,95,1,36.8,2,96,5.84,95,2.8,77.63,212857,7,6.7,0.693,12.6
Botswana,2012,Developing,Low,63.4,3,2,0.01,12.83,95,7,36.2,3,96,6.27,95,4.4,729.23,289315,7.3,7,0.687,12.5
Botswana,2011,Developing,Low,62.2,325,2,5.76,668.96,95,8,35.7,3,96,5.25,95,5.5,7645.21,251339,7.7,7.4,0.678,12.4
Botswana,2010,Developing,Low,61.1,349,2,5.99,547.04,95,853,35.2,3,96,5.64,95,6.2,6346.16,214866,8,7.8,0.669,12.3
Botswana,2009,Developing,Low,59.2,393,2,5.01,426.79,94,184,34.7,3,96,6.39,96,9,5185.73,1979882,8.4,8.2,0.661,12.2
Botswana,2008,Developing,Low,57.5,427,2,6.56,476.86,94,0,34.2,3,96,5.55,96,12.7,5623.38,1946351,8.8,8.6,0.646,12.1
Botswana,2007,Developing,Low,56.9,436,2,6.21,512.59,93,1,33.7,3,96,4.71,96,13.4,5714.48,1914414,9.2,9,0.63,12.1
Botswana,2006,Developing,Low,54.8,491,2,6.45,76.32,93,6,33.2,3,96,4.93,96,14.4,5374.55,1884238,9.6,9.4,0.61,11.9
Botswana,2005,Developing,Low,51.7,566,2,6.37,629.84,92,5,32.7,3,96,5.62,96,20.6,5351.25,1855852,1,9.9,0.593,11.9
Botswana,2004,Developing,Low,48.1,652,2,4.9,469.58,91,1,32.2,4,96,5.56,96,28.4,4896.58,182933,1.5,1.4,0.58,11.8
Bulgaria,2014,Developed,High,74.3,138,1,12.03,153.14,95,0,65.1,1,88,8.44,88,0.1,7853.34,7223938,1.9,1.9,0.787,14.8
Bulgaria,2013,Developed,High,74.1,14,1,12.06,149.66,95,14,64.5,1,95,7.93,95,0.1,7674.87,7265115,1.9,1.9,0.781,14.4
Bulgaria,2012,Developed,High,73.9,139,1,10.99,851.45,95,1,63.9,1,95,7.11,95,0.1,7378.26,735888,1.9,1.9,0.778,14.3
Bulgaria,2011,Developed,High,73.7,144,1,10.67,875.15,96,157,63.3,1,95,6.88,95,0.1,7813.83,7348328,2,2,0.775,14.2
Bulgaria,2010,Developed,High,73.4,147,1,10.8,766.45,95,22004,62.7,1,94,7.24,94,0.1,6843.26,7395599,2,2,0.77,13.9
Bulgaria,2009,Developed,High,73.2,152,1,10.93,661.51,96,2249,62.1,1,94,6.78,94,0.1,6955.99,7444443,2,2.1,0.768,13.8
Bulgaria,2008,Developed,High,72.9,155,1,10.98,107.98,96,1,61.5,1,96,6.61,95,0.1,7296.12,7492561,2.1,2.1,0.761,13.8
Bulgaria,2007,Developed,High,72.6,157,1,10.89,591.51,95,1,6.9,1,95,6.41,95,0.1,5932.9,7545338,2.1,2.2,0.755,13.5
Bulgaria,2006,Developed,High,72.2,161,1,10.39,508.63,96,1,6.3,1,96,6.67,95,0.1,4513.14,76122,2.2,2.2,0.75,13.5
Bulgaria,2005,Developed,High,72.1,16,1,10.48,456.34,96,3,59.7,1,97,7.8,96,0.1,3893.69,7658972,2.2,2.3,0.745,13.5
Bulgaria,2004,Developed,High,72.2,157,1,10.96,384.15,94,0,59.1,1,94,7.9,95,0.1,3381.58,771686,2.3,2.3,0.738,13.3
Cabo Verde,2014,Developing,High,73,117,0,0.01,414.02,97,0,3.5,0,95,4.76,95,0.2,3529.62,526437,6.8,6.7,0.643,13.5
Cabo Verde,2013,Developing,High,72.8,12,0,0.01,325.63,94,0,29.7,0,93,4.29,93,0.2,3558.8,5216,6.9,6.9,0.643,13.6
Cabo Verde,2012,Developing,High,72.7,121,0,0.01,33.56,94,0,29,0,94,4.61,94,0.3,348.48,513979,7.1,7.1,0.636,13.2
Cabo Verde,2011,Developing,High,72.6,122,0,5.07,4.41,9,0,28.2,0,9,4.6,9,0.3,367.43,5867,7.3,7.2,0.632,13.1
